0,0.93,0.85,-0.72
0,0.8,0.49,-0.58
0,0.87,0.71,-0.86
0,0.87,1.1,-1.0
0,0.37,0.44,-0.57
0,0.79,0.54,-0.9
0,0.71,0.62,-0.66
0,1.12,1.1,-0.89
0,1.13,0.25,-1.11
0,0.8,0.55,-0.83
0,0.86,0.67,-0.92
0,1.06,1.16,-0.89
0,0.39,0.62,-0.43
0,0.48,0.62,-0.69
0,1.22,1.04,-1.04
0,0.75,0.58,-0.71
0,0.34,0.53,-0.39
0,1.05,0.97,-0.9
0,1.01,1.03,-0.57
0,1.13,0.87,-0.33
0,1.18,0.46,-0.5
0,1.13,0.35,-0.82
0,1.54,1.25,-1.24
0,0.92,0.61,-0.69
0,0.41,0.62,-0.25
0,0.94,0.67,-0.61
0,1.19,1.23,-0.73
0,1.3,1.09,-0.7
0,1.16,0.78,-0.68
0,0.91,0.15,-0.63
0,1.22,0.91,-0.9
0,1.3,0.98,-0.77
0,0.11,1.03,-0.09
0,0.68,1.1,-0.71
0,1.56,1.01,-0.66
0,1.24,0.63,-0.44
0,1.13,0.19,-0.15
0,1.18,0.79,-0.82
0,1.46,1.36,-1.1
0,0.74,0.69,-0.4
0,0.26,0.62,-0.1
0,1.03,1.01,-0.6
0,1.41,1.14,-0.38
0,1.84,0.07,-0.47
0,1.34,-0.15,-0.37
0,1.95,1.22,-0.49
0,1.41,1.05,-0.36
0,0.07,0.83,-0.04
0,0.95,1.21,-0.4
0,1.44,1.2,-0.5
0,1.43,1.25,-0.31
0,1.31,0.47,-0.27
0,1.18,0.29,-0.43
0,1.73,1.51,-0.78
0,1.23,1.2,-0.64
0,0.55,0.69,-0.33
0,0.54,0.73,-0.64
0,1.26,1.24,-0.77
0,1.44,1.17,-0.43
0,1.17,0.55,-0.32
0,1.47,-0.04,-0.64
0,2.0,1.46,-1.15
0,1.14,1.15,-0.71
0,0.26,0.44,-0.23
0,0.27,0.42,-0.29
0,1.72,1.22,-1.13
0,1.62,1.14,-0.57
0,1.56,0.56,-0.12
0,1.03,-0.07,-0.35
0,1.4,0.79,-1.02
0,1.63,1.39,-0.95
0,0.49,0.65,-0.34
0,0.15,0.38,-0.21
0,1.28,1.11,-0.78
0,1.4,1.28,-0.61
0,1.11,0.66,-0.51
0,1.09,0.4,-0.27
0,1.22,0.99,-0.69
0,1.63,1.96,-1.25
0,0.67,0.72,-0.48
0,0.17,0.43,-0.24
0,1.23,1.67,-0.88
0,2.0,1.86,-0.67
0,1.42,1.09,-0.34
0,1.0,0.41,-0.28
0,1.08,0.52,-0.42
0,1.65,1.82,-1.09
0,1.0,1.3,-0.85
0,0.19,0.46,-0.16
0,0.38,0.67,-0.39
0,1.39,1.53,-0.91
0,1.55,1.04,-0.61
0,0.96,0.44,-0.41
0,1.13,0.38,-0.7
0,1.35,1.18,-0.93
0,1.18,1.19,-0.92
0,0.51,0.73,-0.4
0,0.2,0.56,-0.47
0,1.0,0.79,-0.98
0,1.26,0.95,-0.9
0,1.5,1.93,-1.16
0,0.91,0.74,-0.6
0,0.3,0.48,-0.17
0,0.83,0.89,-0.76
0,1.19,1.13,-0.86
0,0.88,0.97,-0.57
0,1.02,0.54,-0.42
0,1.05,1.04,-1.14
0,1.36,1.07,-1.31
0,0.5,0.5,-0.51
0,-0.01,0.43,-0.22
0,1.22,1.27,-0.93
0,1.3,1.13,-0.86
0,0.97,0.78,-0.52
0,0.83,0.57,-0.48
0,1.2,0.45,-0.74
0,1.38,1.4,-1.43
0,1.24,1.05,-0.96
0,0.26,0.37,-0.23
0,0.06,0.32,-0.17
0,1.06,1.29,-0.73
0,1.56,1.49,-0.96
0,1.05,0.93,-0.48
0,0.8,0.53,-0.21
0,1.25,0.37,-0.56
0,1.43,1.7,-1.19
0,0.82,1.36,-0.83
0,0.62,0.67,-0.47
0,0.38,0.59,-0.2
0,0.7,1.11,-0.96
0,0.99,1.09,-0.86
0,1.14,1.0,-0.91
0,0.98,0.71,-0.68
0,0.93,0.45,-0.54
0,1.3,1.25,-1.06
0,1.26,1.37,-0.68
0,0.54,0.74,-0.27
0,0.39,0.53,-0.38
0,0.74,0.78,-0.96
0,1.45,1.71,-1.04
0,1.22,0.96,-0.97
0,0.93,0.52,-0.5
0,1.06,0.9,-0.76
0,1.15,1.7,-0.97
0,0.72,1.08,-0.72
0,0.4,0.77,-0.33
0,0.17,0.65,-0.27
0,0.68,1.09,-0.71
0,0.94,1.49,-0.83
0,0.92,1.24,-0.62
0,0.86,0.7,-0.35
0,1.04,0.7,-1.01
0,1.23,1.56,-1.97
0,0.48,0.75,-0.8
0,0.12,0.26,-0.29
0,0.44,0.66,-0.39
0,1.52,1.53,-0.81
0,1.4,1.06,-0.71
0,0.98,0.72,-0.52
0,1.08,0.34,-0.27
0,0.88,0.28,-0.58
0,1.45,1.05,-1.53
0,1.26,0.73,-0.86
0,0.65,0.49,-0.38
0,0.55,0.55,-0.32
0,1.13,0.72,-0.98
0,1.42,0.86,-0.95
0,1.5,0.79,-0.75
0,1.45,0.9,-1.08
0,1.19,0.58,-0.83
0,0.99,0.23,-0.63
0,1.4,0.78,-0.82
0,1.45,1.17,-0.96
0,0.77,0.73,-0.56
0,0.39,0.68,-0.53
0,0.86,0.66,-0.71
0,1.37,0.92,-0.8
0,1.04,0.5,-0.8
0,1.14,0.34,-0.64
0,1.12,0.69,-0.78
0,1.26,1.15,-0.84
0,0.74,0.78,-0.53
0,0.27,0.56,-0.33
0,0.78,0.77,-0.86
0,1.23,1.12,-0.83
0,1.16,0.84,-0.8
0,0.94,0.52,-0.51
0,1.04,0.63,-0.69
0,1.16,1.22,-0.94
0,0.84,0.82,-0.65
0,0.51,0.7,-0.39
0,0.48,0.73,-0.54
0,1.02,1.01,-0.77
0,1.31,0.92,-0.83
0,1.0,0.47,-0.76
0,0.82,0.41,-0.57
0,1.27,1.13,-0.82
0,0.85,0.87,-0.6
0,0.45,0.6,-0.45
0,0.52,0.64,-0.52
0,1.06,0.99,-0.77
0,1.06,0.7,-0.55
0,0.93,0.58,-0.63
0,0.93,0.3,-0.59
0,1.24,0.94,-1.24
0,0.75,0.87,-0.71
0,0.19,0.46,-0.49
0,0.52,0.51,-0.52
0,1.35,1.29,-0.9
0,1.2,1.4,-0.66
0,1.1,1.19,-0.64
0,0.78,1.13,-1.09
0,1.36,1.68,-0.85
0,0.74,1.01,-0.48
0,-0.2,0.9,-0.24
0,0.82,1.1,-1.14
0,0.9,1.13,0.79
0,1.28,1.19,-0.22
0,0.73,0.66,-0.33
0,0.74,0.24,-0.21
0,1.09,0.93,-0.16
0,0.93,1.34,-0.64
0,1.17,1.58,-0.29
0,1.09,0.82,0.16
0,1.27,0.64,-0.54
0,1.37,1.69,-0.95
0,0.74,1.37,-0.29
0,0.38,0.31,-0.13
0,0.11,0.53,-0.45
0,0.71,0.93,-0.5
0,1.31,0.99,-0.65
0,1.48,1.3,-0.77
0,1.12,0.54,-0.42
0,0.92,0.6,-0.45
0,1.61,1.74,-0.73
0,0.57,0.88,-0.47
0,0.12,0.61,-0.39
0,1.07,0.96,-0.64
0,1.22,1.16,-0.51
0,0.9,1.25,-0.35
0,1.07,0.63,-0.33
0,0.96,0.45,-0.61
0,1.07,0.9,-1.02
0,0.99,1.04,-0.89
0,0.27,0.49,-0.6
0,0.56,0.81,-0.46
0,0.8,0.95,-0.48
0,0.96,1.26,-0.46
0,1.13,0.9,-0.5
0,0.99,0.21,-0.71
0,1.08,1.55,-0.68
0,0.85,1.14,-0.55
0,0.42,0.7,-0.34
0,0.47,1.04,-0.68
0,0.91,1.06,-0.73
0,1.32,1.67,-0.69
0,1.09,0.67,-0.54
0,0.94,0.94,-0.56
0,1.09,1.47,-0.87
0,1.08,1.53,-0.9
0,-0.13,0.7,-0.18
0,0.69,0.85,-0.5
0,1.29,1.44,-0.69
